1:1	Yaw Teyofil, téere bu jëkk, ba ma bindoon, ëmb na lépp li Yeesu tàmbali woon a jëf ak a jàngale,
27:34	Maa ngi leen di sant nag, ngeen lekk, ndax noonu rekk ngeen man a rawe. Ndax genn kawar du rot ci yéen.»
27:35	Bi mu waxee loolu, mu fab mburu, sant Yàlla ci kanamu ñépp, damm ko, daldi ko lekk.
27:36	Bi ñu gisee loolu, ñépp dëgëraat, ñu daldi lekk ñoom itam.
27:37	Mboolem ñi nekkoon ca gaal ga mat na ñaari téeméeri nit ak juróom-ñaar-fukk ak juróom-benn.
27:38	Noonu ñu lekk ba suur, daldi sànni pepp ma ca géej ga, ngir woyofal gaal ga.
27:39	Bi bët setee nag, xàmmiwuñu réew ma, waaye séen nañu ruqu tefes. Noonu ñu fas yéene caa teeral gaal ga, bu ñu ko manee.
27:40	Ñu dagg diigal ya, bàyyi leen ci biir géej, yiwiwaale baar ba; ba noppi firi wiiru kanam ga, jublu ca tefes ga.
27:41	Waaye ñu dal ca tundu suuf ca bérab bu ñaari koroŋ daje, gaal ga daldi fa luf. Boppu gaal ga nuur bu baax, ne fa tekk, te dooley duus ya daldi toj geen ba.
27:42	Bi loolu amee xarekat ya bëgg a rey ñi ñu tëj, ngir ragal ñenn ñi féey, ba raw.
27:43	Waaye njiit la bëgg a musal Pool, mu tere leen pexe ma. Mu sant ñi man a féey, ñu jëkk a sóobu ca ndox ma, ba jot tefes ga.
27:44	Mu sant ñi ci des ñu def noonu, langaamu ci ay dénk, mbaa ca tojiti gaal ga. Noonu ñépp jot tefes ga ci jàmm ak salaam.
28:1	Bi nu rëccee, nu yég ne dun baa nga tudd Màlt.
28:2	Te waa réew ma won nu laabiir gu ràññiku, ndaxte taalal nañu nu safara, ganale nu ndax taw bi sóob ak sedd bi.
28:3	Pool nag di for matt, di ko def ca taal ba, jaan ne ca mëlle ndax tàngoor wa, taq ci loxoom.
28:4	Bi waa réew ma gisee rab wa wéqu ci loxoom nag, ñuy waxante naan: «Ci lu wóor nit kii reykat la; te bi mu rëccee ca géej ga sax, ndogalu Yàlla mayu ko mu dund.»
28:5	Waaye Pool yëlëb rab wa ca safara sa, te wàññiwu ko dara.
28:6	Nit ñi di xaar mu newi, mbaa mu ne dàll, dee; waaye bi ñu négee lu yàgg te gis ne dara jotu ko, ñu soppi xel ne: «Kii yàlla la.»
28:7	Amoon na nag ca wet ya ay suuf yu doon moomeelu ku tudd Publiyus, di kilifag dun ba. Mu teeru nu, ganale nu ngan gu réy diirub ñetti fan.
28:8	Fekk baayu Publiyus dafa tëdd ndax ay tàngoori yaram yu koy dikkal ak biiru taññ. Pool nag dem seeti ko, ñaan ci Yàlla, teg ko ay loxoom, mu daldi wér.
28:9	Ci kaw loolu jarag ya ca des ca dun ba daldi dikk, amaat wér-gi-yaram.
28:10	Ñu teral nu ci fànn yu bare, te bi nuy dem, ñu jox nu li nuy soxla lépp.
28:11	Bi nu fa amee ñetti weer, nu dugg ca gaal gu lollikoo ca dun ba, daldi tàbbi ca géej ga. Gaalu dëkku Alegsàndiri la woon, te yor xàmmikaay guy nataalu Kastor ak Polugsë.
28:12	Noonu nu teer dëkku Sirakus, toog fa ñetti fan.
28:13	Nu jóge fa, leru tefes ga, ba agsi Resiyo. Ca ëllëg sa ngelawu sudd daldi jóg, te ca ñaareelu fan ba nu teer Pusol.
28:14	Gis nanu fa ay bokk, ñu ñaan nu, nu toog fa ayu-bés. Noonu nu dem Room.
28:15	Sunuy xebaar law na, ba egg ca bokk ya fa dëkk, noonu ñu gatandu nu ba ca péncu Apiyus ak bérab bu ñuy wax Ñetti añukaay ya. Bi leen Pool gisee, mu sant Yàlla, daldi takk fitam.
28:16	Bi nu dikkee Room nag, ñu may Pool, mu dëkk fa ko lew, moom ak xarekat ba koy wottu.
28:17	Bi ñetti fan wéyee, mu woolu njiiti Yawuti dëkk ba. Bi ñu dajaloo nag, mu wax leen lii: «Bokk yi, jàpp nañu ma ci Yerusalem, jébbal ma waa Room, fekk defuma dara luy suufeel sunu xeet, mbaa lu juuyoo ak sunuy aaday maam.
28:18	Waa Room nag seet sama mbir, te bëgg maa bàyyi, ndaxte toppuñu ma dara lu jar dee.
28:19	Waaye bi ko Yawut ya bañee, fas yéene naa dénk sama mbir Sesaar, fekk ba tey awma dara lu may taqal sama xeet.
28:20	Moo tax ma ñaan a gise ak yéen, nu diisoo, ndaxte yaakaaru bànni Israyil moo tax ñu jéng ma.»
28:21	Bi ñu ko déggee, ñu tontu ko: «Jotunu benn bataaxal bu jóge Yude ci sa mbir, te kenn ci bokk, yi fi dikk, jottaliwul mbaa mu seede ci yaw lu bon.
28:22	Waaye bëgg nanoo dégg li nga gëm, ndaxte xam nanu ne, tariixa booba, kenn jubluwu ko fenn.»
28:23	Noonu ñu dig ko bés, te ñu bare ñëw, fekksi ko ca néegam. Mu di leen jàngal suba ba ngoon, di leen dëggal lu jëm ci nguuru Yàlla ak ci Yeesu, tukkee ci yoonu Musaa ak ci yonent yi, di leen jéem a gëmloo.
28:24	Ñenn ñi nag gëm li mu wax, ña ca des weddi ko.
28:25	Gannaaw mënuñoo déggoo, ñu bëgg a tas. Waaye bi ñu laata dem, Pool teg ca wax jii: «Xel mu Sell mi wax na dëgg ak seeni maam, jaarale ko ci yonent Yàlla Esayi.
28:26	Nee na:“Demal ci xeet wii ne leen:‘Dingeen déglu bu baaxwaaye dungeen xam dara;di xool bu baax waaye dungeen gis dara.’
28:27	Ndaxte xolu xeet wii dafa dërkiis;dañuy déglu ak nopp yu naqari,tey gëmm seeni bët,ngir bañ a gis ak seeni bët,dégg ak seeni nopp,te xam ci seen xol,ñu woññiku ci man, ma wéral leen.”
28:28	«Xamleen nag ne, xebaaru mucc gii yégal nañu ko ñi dul Yawut, te ñoom dinañu ko déglu.»
28:30	Noonu diirub ñaari at Pool dëkk ca kër gu muy fey, di fa àggali ñépp ñi koy seetsi.
28:31	Muy yégle nguuru Yàlla, di jàngale ci mbirum Boroom bi Yeesu Kirist ak fit wu dëgër, te kenn terewu ko ko.
